ingredients_combo,taste_balance,price_norm,health_score,carbon_norm
sugar + flour + fruit + wheat + butter + egg + milk + honey + rice + seed + yeast + barley + hazelnut + potato + oat + palm + strawberry + garlic + cream + raspberry + cheese + carrot + blueberry + vinegar + cranberry + coating + buttermilk + fig + yolk + cottonseed + peppermint + mango + plum + pear + parsley + liquorice + lime + chia + cornmeal + sauce + beef + chickpea + sultana + pork + elderberry + coriander + millet + aniseed + celery + cardamom + basil + biscuit + mushroom + cookie + cake + grapefruit + reggiano + olive + tomatoe + chicken + bread + breadcrumb + crispie + lingonberry + kale + potatoe + vegetale + sage + pastry + berry + tahini + lettuce + flageolet + mayonnaise + courgette + applesauce + peppercorn + tigernut + avocado + flaxseed + cacao + soybean + shallot + boysenberry + artichoke + palmfat + palma + brownie + champagne,0.47003930904914953,0.4838710208476588,4,0.4779665220972501
sugar + salt + flour + cocoa + fruit + butter + nut + egg + milk + spice + milkfat + rice + yeast + bean + soya + barley + hazelnut + butterfat + oat + grape + palm + strawberry + pepper + cheese + canola + sesame + walnut + apricot + paprika + tomato + vinegar + coating + flax + ginger + pumpkin + yolk + banana + mango + pineapple + pear + parsley + liquorice + chia + sugarcane + cornmeal + blackberry + sauce + clove + buckwheat + sultana + pork + poppyseed + yogurt + rye + spinach + cabbage + oregano + cumin + celery + cassava + mustard + cardamom + wine + basil + biscuit + tea + thyme + stearate + broccoli + allspice + chive + leaf + reggiano + olive + oatmeal + cracker + cider + breadcrumb + crispie + lingonberry + monostearate + gooseberry + potatoe + vegetale + sage + pastry + berry + anise + ghee + flageolet + mayonnaise + courgette + caramel + bilberry + lard + peppercorn + tigernut + cacao + soybean + shallot + groat + lay + bacon + artichoke + honeycomb + tortilla + palma + brownie + waffle,0.47052363391843127,0.49928935286615195,4,0.4748053824968699
sugar + oil + salt + flour + cocoa + fruit + butter + nut + egg + chocolate + juice + almond + honey + seed + corn + bean + hazelnut + peanut + butterfat + potato + oat + apple + coconut + strawberry + cinnamon + pepper + cream + sunflower + cheese + canola + orange + lemon + raisin + sesame + walnut + paprika + tomato + cranberry + coating + ginger + buttermilk + pumpkin + cottonseed + banana + mango + plum + peach + parsley + liquorice + quinoa + lime + chia + sugarcane + cornmeal + blackberry + coffee + sauce + chickpea + buckwheat + sultana + pork + elderberry + poppyseed + coriander + rye + millet + spinach + cabbage + oregano + cumin + pea + aniseed + celery + lentil + mustard + melon + wine + biscuit + mushroom + watermelon + shellfish + chestnut + papaya + chokeberry + soda + tomatoe + chicken + bread + cider + butteroil + breadcrumb + crispie + stearin + potatoe + vegetale + sage + fenugreek + berry + tahini + starter + mayonnaise + courgette + caramel + bilberry + lard + applesauce + peppercorn + tallow + tigernut + flaxseed + cashew + shallot + bacon + artichoke + honeycomb + palma + brownie + waffle,0.46402835457125124,0.5003231957613808,4,0.4728260491975814
oil + flour + wheat + nut + chocolate + whey + honey + seed + corn + yeast + bean + soya + barley + potato + coconut + grape + strawberry + cinnamon + herb + pepper + cream + sunflower + raspberry + canola + orange + carrot + lemon + palmitate + sesame + coating + flax + ginger + buttermilk + pumpkin + fig + banana + peppermint + plum + pineapple + parsley + liquorice + quinoa + chia + sugarcane + cornmeal + coffee + sauce + beef + chickpea + buckwheat + sultana + pork + poppyseed + yogurt + cabbage + oregano + aniseed + passionfruit + cassava + lentil + biscuit + chestnut + cake + allspice + chive + oatmeal + shrimp + fennel + bread + butteroil + crispie + dill + lingonberry + kale + sage + berry + tahini + anise + ghee + bilberry + lard + peppercorn + tallow + tigernut + gingerbread + flaxseed + cacao + soybean + cashew + boysenberry + breadstick + epice + bacon + palmfat + tortilla + palma + champagne,0.46467647103608367,0.4880602515272282,4,0.458640137825901
sugar + oil + fruit + butter + egg + whey + vanilla + milkfat + honey + rice + seed + yeast + soya + barley + peanut + oat + apple + grape + palm + onion + strawberry + pepper + cheese + carrot + lemon + palmitate + blueberry + sesame + walnut + paprika + tomato + vinegar + coating + ginger + fig + yolk + peppermint + mango + pineapple + parsley + quinoa + lime + chia + cornmeal + sauce + chickpea + buckwheat + sultana + poppy + coriander + yogurt + millet + cabbage + pea + aniseed + celery + cassava + lentil + cardamom + melon + wine + biscuit + tea + thyme + papaya + chokeberry + stearate + allspice + kiwi + chive + leaf + olive + oatmeal + tomatoe + cracker + chicken + shrimp + fennel + bread + cider + breadcrumb + lingonberry + monostearate + gooseberry + sage + courgette + leek + caramel + bilberry + lard + applesauce + tallow + gingerbread + flaxseed + cacao + soybean + boysenberry + lay + epice + palmfat + tofu + palma,0.47101514272897493,0.4944457710491557,4,0.4680267351184112
sugar + oil + salt + flour + cocoa + wheat + nut + milk + chocolate + whey + bean + barley + hazelnut + oat + apple + coconut + palm + cinnamon + garlic + cream + raspberry + cheese + orange + palmitate + blueberry + raisin + sesame + apricot + cranberry + coating + flax + ginger + buttermilk + yolk + banana + pear + peach + quinoa + lime + cornmeal + coffee + sauce + chickpea + sultana + poppy + elderberry + poppyseed + millet + spinach + cabbage + pea + aniseed + celery + passionfruit + lentil + mustard + biscuit + tea + chestnut + cookie + papaya + cake + stearate + allspice + kiwi + chive + oatmeal + soda + tomatoe + cracker + shrimp + fennel + butteroil + breadcrumb + crispie + dill + monostearate + kale + stearin + potatoe + sage + fenugreek + pastry + berry + anise + ghee + starter + flageolet + lard + tallow + avocado + gingerbread + flaxseed + cacao + cauliflower + shallot + boysenberry + breadstick + lay + bacon + honeycomb + palmfat + tortilla + palma + brownie,0.4769243737583801,0.4889083764045481,4,0.4856263180424971
oil + flour + cocoa + fruit + wheat + butter + nut + egg + milk + whey + spice + almond + seed + corn + hazelnut + peanut + oat + coconut + onion + strawberry + cinnamon + herb + pepper + sunflower + raspberry + cheese + canola + orange + lemon + palmitate + sesame + paprika + tomato + vinegar + coating + flax + ginger + fig + yolk + banana + plum + pineapple + pear + parsley + quinoa + chia + beef + buckwheat + sultana + pork + rosemary + rye + millet + cabbage + celery + cassava + cardamom + wine + mushroom + watermelon + thyme + chestnut + papaya + cake + chokeberry + stearate + broccoli + leaf + reggiano + olive + oatmeal + tomatoe + cracker + chicken + shrimp + fennel + bread + cider + lingonberry + monostearate + kale + stearin + potatoe + sage + fenugreek + pastry + starter + lettuce + mayonnaise + caramel + bilberry + peppercorn + tigernut + gingerbread + flaxseed + cacao + cashew + shallot + boysenberry + breadstick + lay + artichoke + palmfat + palma + brownie,0.4696850109049316,0.49919748913240186,4,0.4767539364991745
sugar + salt + flour + fruit + nut + egg + milk + spice + juice + seed + soya + barley + hazelnut + potato + oat + apple + coconut + grape + palm + strawberry + cinnamon + garlic + pepper + cream + sunflower + cheese + canola + orange + carrot + lemon + palmitate + blueberry + walnut + turmeric + coating + buttermilk + fig + banana + mango + plum + pineapple + pear + parsley + quinoa + chia + sugarcane + cornmeal + blackberry + sauce + clove + buckwheat + sultana + pork + rosemary + yogurt + rye + millet + oregano + cumin + passionfruit + cassava + wine + basil + mushroom + watermelon + shellfish + chestnut + papaya + stearate + broccoli + allspice + grapefruit + leaf + oatmeal + tomatoe + chicken + fennel + bread + cider + breadcrumb + crispie + monostearate + gooseberry + fish + sage + fenugreek + tahini + anise + ghee + starter + courgette + leek + caramel + bilberry + applesauce + peppercorn + tigernut + gingerbread + cauliflower + cashew + boysenberry + epice + honeycomb + palmfat + champagne,0.46902981686980394,0.5078681167947241,4,0.4599173959369702
flour + fruit + wheat + butter + milk + chocolate + whey + spice + juice + milkfat + hazelnut + potato + oat + apple + coconut + grape + palm + onion + strawberry + cinnamon + garlic + pepper + sunflower + sweetener + orange + lemon + palmitate + raisin + sesame + apricot + paprika + tomato + coating + flax + ginger + pumpkin + yolk + cottonseed + peach + quinoa + lime + chia + sugarcane + cornmeal + sauce + beef + sultana + pork + poppy + poppyseed + rye + spinach + celery + cassava + cardamom + wine + basil + mushroom + shellfish + chestnut + chokeberry + stearate + allspice + kiwi + chive + grapefruit + leaf + reggiano + olive + oatmeal + soda + chicken + shrimp + fennel + bread + lingonberry + monostearate + kale + potatoe + fish + fenugreek + pastry + tahini + starter + mayonnaise + courgette + leek + caramel + bilberry + peppercorn + tallow + avocado + gingerbread + cacao + cauliflower + soybean + lay + epice + honeycomb + tortilla,0.47044871280057676,0.5222186683768384,4,0.4848688313806415
sugar + salt + cocoa + wheat + nut + milk + whey + vanilla + juice + milkfat + almond + yeast + soya + barley + potato + apple + palm + onion + strawberry + cinnamon + herb + pepper + raspberry + sweetener + canola + carrot + palmitate + blueberry + raisin + sesame + walnut + apricot + paprika + tomato + vinegar + turmeric + coating + pumpkin + yolk + banana + peppermint + plum + pineapple + pear + liquorice + chia + cornmeal + coffee + sauce + chickpea + buckwheat + pork + poppy + rosemary + elderberry + poppyseed + yogurt + millet + cumin + pea + aniseed + lentil + cardamom + biscuit + tea + mushroom + thyme + cookie + cake + chokeberry + stearate + allspice + leaf + soda + tomatoe + fennel + bread + cider + breadcrumb + crispie + lingonberry + monostearate + gooseberry + stearin + vegetale + fish + pastry + berry + tahini + anise + ghee + lettuce + mayonnaise + courgette + lard + applesauce + cashew + lay + epice + artichoke + palmfat + brownie + waffle,0.470043517396525,0.4836616391954547,4,0.46569772086207734
